City	Address	Floor Area	Lot Area	IMG	Price
Bulacan	"Lots 1-A-1 and 1-B-2-B-6-B Gen. Santos Highway, Brgy. Poblacion, Bustos, Bulacanξ (commercial / residential)"	3717		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"18,585,000"
Bulacan	"Lots 8-A & 8-B, Brgy. Caingin, Meycauayan, Bulacan"	2000		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,000,000"
Bulacan	"Lots 8-A and 8-B, Bo. Banga, Meycauayan, Bulacan"	2000		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,116,249"
Bulacan	"M. Ponce St., Brgy. Poblacion, Baliuag, Bulacan"	1649	1122	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"18,067,850"
Bulacan	"No. 215, Norzagaray-Bigte Road, Brgy. Bitungol, Norzagaray, Bulacan"	14346		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"11,476,800"
Bulacan	"No. 3073ξ Sampaguita St., Masagana Homes Subdivision, Phase 2, Brgy. San Francisco, Bulacan, Bulacan"	228	162	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,982,400"
Bulacan	"No. 357 Bitukang Manok St., Brgy. Cacarong Matanda, Pandi, Bulacan"	1400	94	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,011,000"
Bulacan	"No. 505, Lot 1-C, Along NIA Road, Bustos, Bulacan"	16003	907	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"9,508,300"
Bulacan	"No. 534 Provincial Road cor. Ilang-Ilang St., Brgy. San Nicolas, Bulacan, Bulacan"	660	1022	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"6,937,200"
Bulacan	"No. 562 Bonifacio Cruz (Tubao) Street, Brgy. Sulucan, Angat, Bulacan"	2800		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,240,000"
